,0
0,"1300 Crossing Pl, Austin, TX 78741, USA"
1,"400 Congress Ave, Austin, TX 78701, USA"
2,"8504 Georgian Dr, Austin, TX 78753, USA"
3,142221218
4,"Manchaca Rd, Austin, TX, USA"
5,"6500 River Pl Blvd, Austin, TX 78730, USA"
6,"3300 Esperanza Crossing, Austin, TX 78758, USA"
7,"14900 Chamberlain Ct, Austin, TX 78724, USA"
8,"2200 Mission Hill Dr, Austin, TX 78741, USA"
9,"6800 Thorncliffe Dr, Austin, TX 78731, USA"
10,"1000 Springdale Rd, Austin, TX 78702, USA"
11,141570894
12,"3600 Tudor Blvd, Austin, TX 78759, USA"
13,150191769
14,"10801 Ih 35 Service Rd. Nb, Austin, TX 78747, United States"
15,"FM1825, Austin, TX 78660, USA"
16,"11500 Antigua Dr, Austin, TX 78759, USA"
17,"4100 Governors Row, Austin, TX 78744, USA"
18,"Elkhart St, Austin, TX 78702, USA"
19,"12611 N Hwy 183, Austin, TX 78759, United States"
20,171780316
21,"1800 Barton Hills Dr, Austin, TX 78704, USA"
22,120280446
23,"3800 E 12th St, Austin, TX 78721, USA"
24,"400 E 6th St, Austin, TX 78701, USA"
25,"1900 Ridgemont Dr, Austin, TX 78723, USA"
26,"400 E 6th St, Austin, TX 78701, USA"
27,131171308
28,"8700 Mountain Ridge Dr, Austin, TX 78759, USA"
29,"2100 S Lakeshore Blvd, Austin, TX 78741, USA"
30,"2026 Guadalupe St, Austin, TX 78705, USA"
31,"13900 Tophill Cir, Pflugerville, TX 78660, USA"
32,"7200 Duval St, Austin, TX 78752, USA"
33,"7200 Duval St, Austin, TX 78752, USA"
34,"2100 Wickersham Ln, Austin, TX 78741, USA"
35,"6500 Manor Rd, Austin, TX 78723, USA"
36,120120817
37,"1000 E 41st St, Austin, TX 78751, USA"
38,"1500 Royal Crest Dr, Austin, TX 78741, USA"
39,"Austin, TX 78704, USA"
40,"1900 Webberville Rd, Austin, TX 78721, USA"
41,"1000 Springdale Rd, Austin, TX 78702, USA"
42,"200 Cinderella Dr, Austin, TX 78752, USA"
43,"2200 Justin Ln, Austin, TX 78757, USA"
44,"E Cesar Chavez St, Austin, TX, USA"
45,143621003
46,"8300 N FM 620, Austin, TX 78726, USA"
47,"2600 Monarch Dr, Austin, TX 78748, USA"
48,"5000 Blue Spruce Cir, Austin, TX 78723, USA"
49,"Austin, TX 78701, USA"
50,"1900 Shady Brook Ln, Austin, TX 78723, USA"
51,"5100 Harmon Ave, Austin, TX 78751, USA"
52,"1000 Collinwood W Dr, Austin, TX 78753, USA"
53,"5800 Sweeney Cir, Austin, TX 78723, USA"
54,"2806 Waymaker Way, Austin, TX 78746, USA"
55,163270683
56,"2328 Nestlewood Dr, Austin, TX 78754, USA"
57,"5100 Regency Dr, Austin, TX 78724, USA"
58,"10400 Doc Holliday Trail, Austin, TX 78753, USA"
59,"2600 W William Cannon Dr, Austin, TX 78745, USA"
60,"E William Cannon Dr, Austin, TX, USA"
61,"4900 Prock Ln, Austin, TX 78721, USA"
62,"2100 E 17th St, Austin, TX 78702, USA"
63,"2100 Travis Heights Blvd, Austin, TX 78704, USA"
64,"3600 Southridge Dr, Austin, TX 78704, USA"
65,"4600 Elmont Dr, Austin, TX 78741, USA"
66,"400 Sabine St, Austin, TX 78701, USA"
67,"2300 Durwood St, Austin, TX 78704, USA"
68,"6000 Palm Cir, Austin, TX 78741, USA"
69,"100 W 5th St, Austin, TX 78701, USA"
70,"607 W 24th St, Austin, TX 78705, USA"
71,"600 E Wonsley Dr, Austin, TX 78753, USA"
72,"3200 Mossrock Dr, Austin, TX 78757, USA"
73,133530900
74,"3300 Northeast Dr, Austin, TX 78723, USA"
75,"6200 E Riverside Dr, Austin, TX 78741, USA"
76,171931134
77,"4537 S IH 35 Frontage Rd, Austin, TX 78744, USA"
78,"500 Brazos St, Austin, TX 78701, USA"
79,"700 Waller St, Austin, TX 78702, USA"
80,"6900 Wentworth Dr, Austin, TX 78724, USA"
81,"2500 Huntwick Dr, Austin, TX 78741, USA"
82,131080688
83,"12400 Split Rail Cove, Austin, TX 78750, USA"
84,"Austin, TX 78701, USA"
85,"Austin, TX 78701, USA"
86,"601 Rio Grande St, Austin, TX 78701, USA"
87,152891123
88,"3000 Guadalupe St, Austin, TX 78705, USA"
89,"3700 Presidential Blvd, Austin, TX 78719, USA"
90,"800 Terrace Mountain Dr, West Lake Hills, TX 78746, USA"
91,"1000 E 11th St, Austin, TX 78702, USA"
92,"Old San Antonio Rd, Austin, TX, USA"
93,"4000 Sinclair Ave, Austin, TX 78756, USA"
94,172750665
95,"5300 West Gate Blvd, Sunset Valley, TX 78745, USA"
96,"2700 Market Garden Ln, Austin, TX 78745, USA"
97,"2900 FM973, Austin, TX 78725, USA"
98,"3700 Goodwin Ave, Austin, TX 78721, USA"
99,"516 W Oltorf St, Austin, TX 78704, USA"
100,"8800 East Dr, Austin, TX 78753, USA"
101,"1600 Stephen F Austin Dr, Austin, TX 78703, USA"
102,"2400 S Lamar Blvd, Austin, TX 78704, USA"
103,170700479
104,172721077
105,"900 E 40th St, Austin, TX 78751, USA"
106,"2500 E Riverside Dr, Austin, TX 78741, USA"
107,"2000 Burton Dr, Austin, TX 78741, USA"
108,"E Perimeter Rd, Austin, TX 78719, USA"
109,"1811 W Dittmar Rd, Austin, TX 78748, USA"
110,"2400 Town Lake Cir, Austin, TX 78741, USA"
111,132521786
112,"1800 E Oltorf St, Austin, TX 78741, USA"
